Year,Name,Award,Level,Team,Position,Sport
2023,Samantha Chu,PLAYER OF THE YEAR,MIDWEST CONFERENCE,,,Softball
2018,Darice Wheeler,PLAYER OF THE YEAR,MIDWEST CONFERENCE,,,Softball
2017,Kayla Morrissey,PLAYER OF THE YEAR,MIDWEST CONFERENCE,,,Softball
2021,Lizzy Vermeulen,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE,,,Softball
2019,Maddie Matsubara,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE,,,Softball
2018,Darice Wheeler,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE,,,Softball
2023,Kambria Anson,ELITE 20 WINNER,MIDWEST CONFERENCE,,,Softball
2022,Samantha Chu,ELITE 20 WINNER,MIDWEST CONFERENCE,,,Softball
2024,Lexy Determan,COACH OF THE YEAR,MIDWEST CONFERENCE,,,Softball
2023,Lexy Determan,COACH OF THE YEAR,MIDWEST CONFERENCE,,,Softball
2022,Lexy Determan,COACH OF THE YEAR,MIDWEST CONFERENCE,,,Softball
2013,Hayley Levin,All American,NATIONAL,,,Swimming and Diving
2011,Imelda Wistey,All American,NATIONAL,,,Swimming and Diving
2011,Imelda Wistey,All American,NATIONAL,,,Swimming and Diving
2011,Kelly Bruce,All American,NATIONAL,,,Swimming and Diving
2005,Sarah Stayer,All American,NATIONAL,,,Swimming and Diving
2005,Sarah Stayer,All American,NATIONAL,,,Swimming and Diving
2004,Sarah Stayer,All American,NATIONAL,,,Swimming and Diving
2003,Sarah Stayer,All American,NATIONAL,,,Swimming and Diving
2019,Sophie Wojdylo,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2019,Celeste Kaspar,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2018,Summer White,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2017,Summer White,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2016,Tiffany Nguyen,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2015,Tiffany Nguyen,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2015,Hayley Levin,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2014,Tiffany Nguyen,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2013,Allison Miller,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2012,Kelly Bruce,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2011,Kelly Bruce,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2011,Imelda Wistey,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2011,Hannah LaFollette,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2010,Morgan Bober,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2010,Kelly Bruce,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2009,Kelly Bruce,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2009,Morgan Bober,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2006,Sarah Stayer,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2005,Sarah Stayer,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2003,Sarah Stayer,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2003,Rachel Sellon,CSCAA Scholar-Athlete,NATIONAL,,,Swimming and Diving
2012,Kelly Bruce,Academic All-America,NATIONAL,,,Swimming and Diving
2025,Sophia Carroll,Academic All-District,REGION,,,Swimming and Diving
2025,Sophie Juethner,Academic All-District,REGION,,,Swimming and Diving
2025,Molly Ryan,Academic All-District,REGION,,,Swimming and Diving
2025,Natasha Zettler,Academic All-District,REGION,,,Swimming and Diving
2024,Sophia Carroll,Academic All-District,REGION,,,Swimming and Diving
2024,Kailee Shermak,Academic All-District,REGION,,,Swimming and Diving
2024,Sarah Lopez,Academic All-District,REGION,,,Swimming and Diving
2024,Ciara Vogler,Academic All-District,REGION,,,Swimming and Diving
2017,Chloe Briney,Academic All-District,REGION,,,Swimming and Diving
2016,Maddy Pesch,Academic All-District,REGION,,,Swimming and Diving
2015,Maddy Pesch,Academic All-District,REGION,,,Swimming and Diving
2014,Maddy Pesch,Academic All-District,REGION,,,Swimming and Diving
2012,Kelly Bruce,Academic All-District,REGION,,,Swimming and Diving
2003,Leah Blasiak,Academic All-District,REGION,,,Swimming and Diving
2022,Sophia Carroll,Outstanding Swimmer,MIDWEST CONFERENCE,,,Swimming and Diving
2018,Maria Venneri,Outstanding Swimmer,MIDWEST CONFERENCE,,,Swimming and Diving
2017,Beth Tsuha,Outstanding Swimmer,MIDWEST CONFERENCE,,,Swimming and Diving
2016,Maria Venneri,Outstanding Swimmer,MIDWEST CONFERENCE,,,Swimming and Diving
2014,Hayley Levin,Outstanding Swimmer,MIDWEST CONFERENCE,,,Swimming and Diving
2013,Hayley Levin,Outstanding Swimmer,MIDWEST CONFERENCE,,,Swimming and Diving
2011,Imelda Wistey,Outstanding Swimmer,MIDWEST CONFERENCE,,,Swimming and Diving
2008,Meghan McDoniel,Outstanding Swimmer,MIDWEST CONFERENCE,,,Swimming and Diving
2007,Valerie Stimac,Outstanding Swimmer,MIDWEST CONFERENCE,,,Swimming and Diving
2003,Rachel Sellon,Outstanding Swimmer,MIDWEST CONFERENCE,,,Swimming and Diving
2020,Sophie Wojdylo,Outstanding Diver,MIDWEST CONFERENCE,,,Swimming and Diving
2018,Summer White,Outstanding Diver,MIDWEST CONFERENCE,,,Swimming and Diving
2017,Summer White,Outstanding Diver,MIDWEST CONFERENCE,,,Swimming and Diving
2016,Tiffany Nguyen,Outstanding Diver,MIDWEST CONFERENCE,,,Swimming and Diving
2011,Kelly Bruce,Outstanding Diver,MIDWEST CONFERENCE,,,Swimming and Diving
2010,Kelly Bruce,Outstanding Diver,MIDWEST CONFERENCE,,,Swimming and Diving
2009,Kelly Bruce,Outstanding Diver,MIDWEST CONFERENCE,,,Swimming and Diving
2020,Kendra Howard,Outstanding Newcomer,MIDWEST CONFERENCE,,,Swimming and Diving
2019,Nikki Schlegel,Outstanding Newcomer,MIDWEST CONFERENCE,,,Swimming and Diving
2018,Madeline Peak,Outstanding Newcomer,MIDWEST CONFERENCE,,,Swimming and Diving
2016,Annie Galloway,Elite 20 Award,MIDWEST CONFERENCE,,,Swimming and Diving
2024,Lily Perrin,Academic All-District,REGION,,,Tennis
2024,Utsah Kalra,Academic All-District,REGION,,,Tennis
2024,Anika Sheth,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2024,Utsah Kalra,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2024,Kayla Surpless,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2024,Keira Healy,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2024,Lily Perrin,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2024,Anika Sheth,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2024,Addie Persian,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Ioanna Giannakou,Academic All-District,REGION,,,Tennis
2023,Irene Agusti,Academic All-District,REGION,,,Tennis
2023,Lily Perrin,Academic All-District,REGION,,,Tennis
2023,Utsah Kalra,Academic All-District,REGION,,,Tennis
2023,Zack Hasenyager,Coach of the Year,MIDWEST CONFERENCE,,,Tennis
2023,Ioanna Giannakou,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Lily Perrin,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Isa Voinescu,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Paige Sargent,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Anika Sheth,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Sydney Marin,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Ioanna Giannakou,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Paige Sargent,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Utsah Kalra,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Isa Voinescu,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2023,Nichole Hennning,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Erin Jarvis,Academic All-District,REGION,,,Tennis
2022,Ioanna Giannakou,Academic All-District,REGION,,,Tennis
2022,Sabrina Tang,Academic All-District,REGION,,,Tennis
2022,Utsah Kalra,Academic All-District,REGION,,,Tennis
2022,Zack Hasenyager,Coach of the Year,MIDWEST CONFERENCE,,,Tennis
2022,Utsah Kalra,Elite 20 Winner,MIDWEST CONFERENCE,,,Tennis
2022,Ioanna Giannakou,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Sabrina Tang,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Erin Jarvis,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Lily Perrin,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Irene Agusti,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Sophie de los Reyes,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Sabrina Tang,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Ioanna Giannakou,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Irene Agusti,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Lily Perrin,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Utsah Kalra,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2022,Ioanna Giannakou,NCAA D-III National Qualifiers (Doubles First Round),NATIONAL,,,Tennis
2022,Sabrina Tang,NCAA D-III National Qualifiers (Doubles First Round),NATIONAL,,,Tennis
2022,Sabrina Tang,NCAA D-III National Qualifiers (Singles First Round),NATIONAL,,,Tennis
2022,Sabrina Tang,National All-America,NATIONAL,,,Tennis
2022,Sabrina Tang,Player of the Year,MIDWEST CONFERENCE,,,Tennis
2022,Sabrina Tang,USTA/ITA Regional Champion,REGION,,,Tennis
2021,Emma Gaydos,ITA Scholar-Athletes,NATIONAL,,,Tennis
2021,Erin Jarvis,ITA Scholar-Athletes,NATIONAL,,,Tennis
2021,Ioanna Giannakou,ITA Scholar-Athletes,NATIONAL,,,Tennis
2021,Kalea Martin,ITA Scholar-Athletes,NATIONAL,,,Tennis
2021,Lily Perrin,ITA Scholar-Athletes,NATIONAL,,,Tennis
2021,Sabrina Tang,ITA Scholar-Athletes,NATIONAL,,,Tennis
2021,Sophia de los Reyes,ITA Scholar-Athletes,NATIONAL,,,Tennis
2021,Sydney Marin,ITA Scholar-Athletes,NATIONAL,,,Tennis
2021,Utsah Kalra,ITA Scholar-Athletes,NATIONAL,,,Tennis
2021,Irene Agusti,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Sabrina Tang,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Mira Manchanda,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Sophia de los Reyes,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Erin Jarvis,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Ioanna Giannakou,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Sabrina Tang,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Irene Agusti,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Ioanna Giannakou,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Mira Manchanda,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Sophia de los Reyes,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Utsah Kalra,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2021,Sabrina Tang,NCAA D-III National Qualifiers (Singles First Round),NATIONAL,,,Tennis
2021,Sabrina Tang,NCAA D-III National Qualifiers (Singles Second Round),NATIONAL,,,Tennis
2021,Sabrina Tang,National All-America,NATIONAL,,,Tennis
2021,Sabrina Tang,Player of the Year,MIDWEST CONFERENCE,,,Tennis
2021,Sabrina Tang,USTA/ITA Regional Champion,REGION,,,Tennis
2020,Ali Hickey,All-MWC Team,MIDWEST CONFERENCE,,,Tennis
2020,Ioanna Giannakou,All-MWC Team,MIDWEST CONFERENCE,,,Tennis
2020,Sabrina Tang,All-MWC Team,MIDWEST CONFERENCE,,,Tennis
2020,Sophia de los Reyes,All-MWC Team,MIDWEST CONFERENCE,,,Tennis
2020,Abby Nielsen,ITA Scholar-Athletes,NATIONAL,,,Tennis
2020,Ali Hickey,ITA Scholar-Athletes,NATIONAL,,,Tennis
2020,Emma Gaydos,ITA Scholar-Athletes,NATIONAL,,,Tennis
2020,Ioanna Giannakou,ITA Scholar-Athletes,NATIONAL,,,Tennis
2020,Irene Agusti,ITA Scholar-Athletes,NATIONAL,,,Tennis
2020,Josephine Blumenthal,ITA Scholar-Athletes,NATIONAL,,,Tennis
2020,Mira Manchanda,ITA Scholar-Athletes,NATIONAL,,,Tennis
2020,Sabrina Tang,ITA Scholar-Athletes,NATIONAL,,,Tennis
2020,Sophia de los Reyes,ITA Scholar-Athletes,NATIONAL,,,Tennis
2019,Paige Madara,Coach of the Year,MIDWEST CONFERENCE,,,Tennis
2019,Abby Nielsen,ITA Scholar-Athletes,NATIONAL,,,Tennis
2019,Brenda Guan,ITA Scholar-Athletes,NATIONAL,,,Tennis
2019,Emma Gaydos,ITA Scholar-Athletes,NATIONAL,,,Tennis
2019,Izzy Green,ITA Scholar-Athletes,NATIONAL,,,Tennis
2019,Josephine Blumenthal,ITA Scholar-Athletes,NATIONAL,,,Tennis
2019,Mamie Sevier,ITA Scholar-Athletes,NATIONAL,,,Tennis
2019,Sabrina Tang,ITA Scholar-Athletes,NATIONAL,,,Tennis
2019,Sophia de los Reyes,ITA Scholar-Athletes,NATIONAL,,,Tennis
2019,Sabrina Tang,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2019,Sophia de los Reyes,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2019,Abby Nielsen,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2019,Ali Hickey,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2019,Sophia de los Reyes,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2019,Izzy Green,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2019,Emma Gaydos,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2019,Sabrina Tang,Newcomer of the Year,MIDWEST CONFERENCE,,,Tennis
2018,Lily Hamilton,Elite 20 Winner,MIDWEST CONFERENCE,,,Tennis
2018,Brenda Guan,ITA Scholar-Athletes,NATIONAL,,,Tennis
2018,Emma Gaydos,ITA Scholar-Athletes,NATIONAL,,,Tennis
2018,Judith Fan,ITA Scholar-Athletes,NATIONAL,,,Tennis
2018,Lily Hamilton,ITA Scholar-Athletes,NATIONAL,,,Tennis
2018,Natalie Cook,ITA Scholar-Athletes,NATIONAL,,,Tennis
2018,Izzy Green,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2017,Paige Madara,Coach of the Year,MIDWEST CONFERENCE,,,Tennis
2017,Abby Nielsen,ITA Scholar-Athletes,NATIONAL,,,Tennis
2017,Ali Hickey,ITA Scholar-Athletes,NATIONAL,,,Tennis
2017,Anushka Joshi,ITA Scholar-Athletes,NATIONAL,,,Tennis
2017,Brenda Guan,ITA Scholar-Athletes,NATIONAL,,,Tennis
2017,Lily Hamilton,ITA Scholar-Athletes,NATIONAL,,,Tennis
2017,Milica Cvrkota,ITA Scholar-Athletes,NATIONAL,,,Tennis
2017,Shannon Hautzinger,ITA Scholar-Athletes,NATIONAL,,,Tennis
2017,Sydney Banach,ITA Scholar-Athletes,NATIONAL,,,Tennis
2017,Abby Nielsen,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2017,Ali Hickey,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2017,Milica Cvrkota,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2017,Ali Hickey,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2017,Abby Nielsen,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2017,Lily Hamilton,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2017,Milica Cvrkota,Newcomer of the Year,MIDWEST CONFERENCE,,,Tennis
2016,Paige Madara,Coach of the Year,MIDWEST CONFERENCE,,,Tennis
2016,Shanaz Daneshdoost,Elite 20 Winner,MIDWEST CONFERENCE,,,Tennis
2016,Brenda Guan,ITA Scholar-Athletes,NATIONAL,,,Tennis
2016,Eden Gregory,ITA Scholar-Athletes,NATIONAL,,,Tennis
2016,Lily Hamilton,ITA Scholar-Athletes,NATIONAL,,,Tennis
2016,Marisa Leib-Neri,ITA Scholar-Athletes,NATIONAL,,,Tennis
2016,Megan Treichel,ITA Scholar-Athletes,NATIONAL,,,Tennis
2016,Shanaz Daneshdoost,ITA Scholar-Athletes,NATIONAL,,,Tennis
2016,Shannon Hautzinger,ITA Scholar-Athletes,NATIONAL,,,Tennis
2016,Sydney Banach,ITA Scholar-Athletes,NATIONAL,,,Tennis
2016,Amelia Cogan,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2016,Judith Fan,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2016,Megan Jans,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2016,Lily Hamilton,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2015,Julia Rumley,ITA Scholar-Athletes,NATIONAL,,,Tennis
2015,Minna Montgomery,ITA Scholar-Athletes,NATIONAL,,,Tennis
2015,Virginia Purcell,ITA Scholar-Athletes,NATIONAL,,,Tennis
2015,Amelia Cogan,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2015,Judith Fan,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2015,Anushka Joshi,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2014,Shirlene Luk,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2013,Hannah Feldman,ITA Scholar-Athletes,NATIONAL,,,Tennis
2013,Sadhana Athreya,ITA Scholar-Athletes,NATIONAL,,,Tennis
2013,Emma Macdonald,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2013,Hanna Feldman,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2013,Shirlene Luk,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2013,Sadhana Athreya,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2013,Hanna Feldman,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2012,Laura Krull,Academic All-America,NATIONAL,,,Tennis
2012,Laura Krull,Academic All-District,REGION,,,Tennis
2012,Catherine Fitch,ITA Scholar-Athletes,NATIONAL,,,Tennis
2012,Constanza Alarcon,ITA Scholar-Athletes,NATIONAL,,,Tennis
2012,Laura Krull,ITA Scholar-Athletes,NATIONAL,,,Tennis
2012,Clothilde Thirouin,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2012,Shirlene Luk,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2012,Constanza Alarcon,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2012,Hanna Feldman,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2012,Catherine Fitch,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2012,Julia Rumley,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2012,Laura Krull,NCAA D-III National Qualifiers (Singles First Round),NATIONAL,,,Tennis
2012,Laura Krull,National All-America,NATIONAL,,,Tennis
2012,Laura Krull,USTA/ITA Regional Champion,REGION,,,Tennis
2011,Toby Cain,ITA Scholar-Athletes,NATIONAL,,,Tennis
2011,Clothilde Thirouin,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2011,Constanza Alarcon,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2011,Constanza Alarcon,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2011,Shirlene Luk,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2011,Hanna Feldman,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2011,Toby Cain,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2010,Catherine Fitch,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2010,Constanza Alarcon,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2010,Constanza Alarcon,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2010,Clothilde Thirouin,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2010,Morgan Counts,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2010,Hanna Feldman,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2010,Catherine Fitch,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2009,Catherine Fitch,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2009,Constanza Alarcon,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2009,Constanza Alarcon,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2009,Tatyana Sukharnikova,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2008,Katie Colver,ITA Scholar-Athletes,NATIONAL,,,Tennis
2008,Maya Lipert,ITA Scholar-Athletes,NATIONAL,,,Tennis
2008,Katie Colver,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2008,Maya Lipert,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2008,Katie Colver,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2008,Maya Lipert,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2008,Tatyana Sukharnikova,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2007,Katie Colver,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2007,Maya Lipert,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2007,Maya Lipert,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2007,Katie Colver,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2007,Margaret Block,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2007,Jill Akiyama,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2006,Laura Goffman,ITA Scholar-Athletes,NATIONAL,,,Tennis
2006,Rachel Engh,ITA Scholar-Athletes,NATIONAL,,,Tennis
2006,Katie Colver,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2006,Maya Lipert,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2006,Rachel Engh,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2006,Katie Colver,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2006,Margaret Block,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2006,Jill Akiyama,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2005,Betsy Root,ITA Scholar-Athletes,NATIONAL,,,Tennis
2005,Jocelyn Newhouse,ITA Scholar-Athletes,NATIONAL,,,Tennis
2005,Katie Colver,ITA Scholar-Athletes,NATIONAL,,,Tennis
2005,Margaret Lay,ITA Scholar-Athletes,NATIONAL,,,Tennis
2005,Maya Lipert,ITA Scholar-Athletes,NATIONAL,,,Tennis
2005,Rachel Engh,ITA Scholar-Athletes,NATIONAL,,,Tennis
2005,Shweta Khajuria,ITA Scholar-Athletes,NATIONAL,,,Tennis
2005,Camila Alarcon,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2005,Shweta Khajuria,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2005,Camila Alarcon,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2005,Rachel Engh,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2005,Maya Lipert,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2005,Katie Colver,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2004,Jill Harms,ITA Scholar-Athletes,NATIONAL,,,Tennis
2004,Jocelyn Newhouse,ITA Scholar-Athletes,NATIONAL,,,Tennis
2004,Margaret Block,ITA Scholar-Athletes,NATIONAL,,,Tennis
2004,Margaret Lay,ITA Scholar-Athletes,NATIONAL,,,Tennis
2004,Rachel Engh,ITA Scholar-Athletes,NATIONAL,,,Tennis
2004,Shweta Khajuria,ITA Scholar-Athletes,NATIONAL,,,Tennis
2004,Camila Alarcon,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2004,Jill Harms,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2004,Jocelyn Newhouse,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2004,Rachel Engh,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2004,Shweta Khajuria,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2004,Camila Alarcon,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2004,Sid Khajuria,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2004,Jill Harms,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2004,Rachel Engh,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2003,Jayme Siegel,ITA Scholar-Athletes,NATIONAL,,,Tennis
2003,Jill Harms,ITA Scholar-Athletes,NATIONAL,,,Tennis
2003,Kate Bradley,ITA Scholar-Athletes,NATIONAL,,,Tennis
2003,Margaret Lay,ITA Scholar-Athletes,NATIONAL,,,Tennis
2003,Maria Stanislaw,ITA Scholar-Athletes,NATIONAL,,,Tennis
2003,Rachel Sandler,ITA Scholar-Athletes,NATIONAL,,,Tennis
2003,Sera Ozturk,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2003,Shweta Khajuria,Midwest Confrence Doubles Champion,MIDWEST CONFERENCE,,,Tennis
2003,Shweta Khajuria,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2003,Sera Ozturk,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
2003,Jill Harms,Midwest Confrence Singles Champion,MIDWEST CONFERENCE,,,Tennis
